"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"Item_1_EHE","Blender","5.0"
"Item_2_EHE","Microwave","6.5"
"Item_3_EHE","Toaster","8.0"
"Item_4_EHE","Vacuum Cleaner","9.5"
"Item_5_EHE","Air Purifier","11.0"
"Item_6_EHE","Electric Kettle","12.5"
"Item_7_EHE","Rice Cooker","14.0"
"Item_8_EHE","Iron","15.5"
"Item_9_EHE","Ceiling Fan","17.0"
"Item_10_EHE","Table Fan","18.5"
"Item_11_EHE","Hair Dryer","20.0"
"Item_12_EHE","Heater","21.5"
"Item_13_EHE","Humidifier","23.0"
"Item_14_EHE","Dehumidifier","24.5"
"Item_15_EHE","Coffee Maker","26.0"
"Item_16_EHE","Portable AC","27.5"
"Item_17_EHE","Electric Stove","29.0"
"Item_18_EHE","Pressure Cooker","30.5"
"Item_19_EHE","Induction Cooktop","32.0"
"Item_20_EHE","Water Dispenser","33.5"
"Item_21_EHE","Hand Blender","35.0"
"Item_22_EHE","Mixer Grinder","36.5"
"Item_23_EHE","Sandwich Maker","38.0"
"Item_24_EHE","Air Fryer","39.5"
"Item_25_EHE","Juicer","41.0"
